,Unnamed: 0,zip_code,count,latitude,longitude,Price_1,Price_2,Price_3,Price_4,Rating_1,Rating_1.5,Rating_2,Rating_2.5,Rating_3,Rating_3.5,Rating_4,Rating_4.5,Rating_5,count_businesses,city
1715,1715,96777,3,19.222499884893235,-155.47162835056068,0,3,0,0,0,0,0,0,0,0,0,1,2,3,Pahala
1716,1716,96778,25,19.483752619830085,-154.95017796139558,12,13,0,0,0,0,2,1,4,5,8,4,1,25,Pāhoa
1717,1717,96779,17,20.916077963999147,-156.37984115887917,5,9,1,2,0,0,0,0,0,2,7,7,1,17,Paia
1718,1718,96780,1,19.9771900177002,-155.220855712891,1,0,0,0,0,0,0,0,0,0,0,0,1,1,Papaaloa
1719,1719,96781,1,19.8058109,-155.09307859999996,1,0,0,0,0,0,0,0,0,0,0,1,0,1,Papaikou
1720,1720,96782,24,21.396218498062538,-157.96783130859825,6,18,0,0,0,0,0,1,1,4,13,5,0,24,Pearl City
1721,1721,96783,3,19.834635747060233,-155.11283307612834,1,2,0,0,0,0,0,0,0,1,0,2,0,3,Pepeekeo
1722,1722,96785,8,19.43088366015481,-155.23454699249427,2,6,0,0,0,0,0,0,1,0,5,2,0,8,Volcano
1723,1723,96786,61,21.495596331958726,-158.031921356266,33,28,0,0,0,0,3,5,11,13,11,14,4,61,Wahiawa
1725,1725,96789,27,21.456870477209915,-158.01349500790354,10,17,0,0,0,0,0,2,3,9,10,2,1,27,Mililani
1726,1726,96790,10,20.75425295961299,-156.35223067318069,2,8,0,0,0,0,1,0,0,1,2,5,1,10,Wailuku
